Uniprot Accession,Description,Gene name,# Peptides,# Unique Peptides,M1 / Ref_2965_Mito,M2 / Ref_2965_Mito,M3 / Ref_2965_Mito,M4 / Ref_2965_Mito,M5 / Ref_2965_Mito,M6 / Ref_2965_Mito,M7 / Ref_2965_Mito,M8 / Ref_2965_Mito,M9 / Ref_2965_Mito,Subcellular location [CC],Gene ontology (cellular component),Sequence Coverage [%],# PSMs
P40341,Mitochondrial respiratory chain complexes assembly protein YTA12 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YTA12 PE=1 SV=2,YTA12,48,46,0.695,0.634,0.561,1.186,1.1,1.33,1.153,1.461,1.729,Multi-pass membrane protein {ECO:0000269|PubMed:8681382}.;Mitochondrion membrane {ECO:0000269|PubMed:8681382},mitochondrial inner boundary membrane [GO:0097002];mitochondrial inner membrane [GO:0005743];m-AAA complex [GO:0005745],45,116
P10964,DNA-directed RNA polymerase I subunit RPA190 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPA190 PE=1 SV=2,RPA190,65,64,0.645,2.01,0.763,1.014,1.185,0.584,1.573,0.831,0.342,"Nucleus, nucleolus {ECO:0000269|PubMed:14562095}.",nucleolus [GO:0005730];DNA-directed RNA polymerase I complex [GO:0005736],44,114
P38077,"ATP synthase subunit gamma, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATP3 PE=1 SV=1",ATP3,22,22,0.442,0.406,0.37,1.287,1.337,1.568,0.919,1.217,1.609,Peripheral membrane protein.;Mitochondrion. Mitochondrion inner membrane,"mitochondrial proton-transporting ATP synthase, central stalk [GO:0005756]",59,114
P00360,Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TDH1 PE=1 SV=3,TDH1,26,13,2.404,1.223,1.285,0.359,0.304,0.289,0.408,0.419,0.343,Cytoplasm {ECO:0000269|PubMed:11502169}.,fungal-type cell wall [GO:0009277];lipid droplet [GO:0005811];mitochondrion [GO:0005739];cytosol [GO:0005829],73,113
P08417,"Fumarate hydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FUM1 PE=1 SV=2",FUM1,25,25,0.303,0.265,0.25,1.609,1.488,1.875,0.811,1.271,1.601,Mitochondrion matrix {ECO:0000269|PubMed:11502169}. Cytoplasm {ECO:0000269|PubMed:11502169}. Note=Both fumarases are encoded by a single nuclear gene.,mitochondrial matrix [GO:0005759];mitochondrion [GO:0005739];tricarboxylic acid cycle enzyme complex [GO:0045239];cytosol [GO:0005829],51,112
P19262,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KGD2 PE=1 SV=2",KGD2,17,17,0.359,0.317,0.321,1.293,1.42,1.678,0.913,1.301,1.957,Mitochondrion.,mitochondrial oxoglutarate dehydrogenase complex [GO:0009353];mitochondrial nucleoid [GO:0042645],37,112
P60010,Actin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ACT1 PE=1 SV=1,ACT1,19,19,1.069,2.088,1.042,0.522,0.626,0.482,1.435,0.582,0.353,"Cytoplasm, cytoskeleton.",actin filament [GO:0005884];actin filament bundle [GO:0032432];cellular bud neck contractile ring [GO:0000142];Ino80 complex [GO:0031011];NuA4 histone acetyltransferase complex [GO:0035267];Swr1 complex [GO:0000812];actin cortical patch [GO:0030479],62,112
P32796,"Carnitine O-acetyltransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAT2 PE=1 SV=2",CAT2,34,34,0.238,0.181,0.206,1.47,1.534,1.874,0.916,1.451,1.726,Matrix side.;Peripheral membrane protein;Isoform Peroxisomal: Peroxisome.;Isoform Mitochondrial: Mitochondrion inner membrane,mitochondrion [GO:0005739];peroxisome [GO:0005777];mitochondrial inner membrane [GO:0005743],52,110
P32589,Heat shock protein homolog SSE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSE1 PE=1 SV=4,SSE1,42,36,1.649,1.642,2.01,0.642,0.742,0.699,1.001,0.902,0.775,Cytoplasm {ECO:0000269|PubMed:14562095}.,polysome [GO:0005844];cytoplasm [GO:0005737],51,110
P07213,Mitochondrial import receptor subunit TOM70 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TOM70 PE=1 SV=2,TOM70,43,43,0.766,0.717,0.659,1.007,0.974,1.156,1.082,1.313,1.571,Single-pass membrane protein {ECO:0000269|PubMed:11502169}.;Mitochondrion outer membrane {ECO:0000269|PubMed:11502169},mitochondrial outer membrane [GO:0005741];mitochondrial outer membrane translocase complex [GO:0005742];mitochondrion [GO:0005739];integral component of mitochondrial outer membrane [GO:0031307],50,109
P00175,"Cytochrome b2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYB2 PE=1 SV=1",CYB2,35,35,0.357,0.313,0.325,1.206,1.109,1.342,1.21,1.626,1.887,"Mitochondrion intermembrane space {ECO:0000269|PubMed:11502169, ECO:0000269|PubMed:22984289}.",mitochondrial inner membrane [GO:0005743];mitochondrial intermembrane space [GO:0005758];mitochondrion [GO:0005739];respiratory chain [GO:0070469];cytosol [GO:0005829],55,109
P40495,"Homoisocitrate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LYS12 PE=1 SV=1",LYS12,31,31,0.821,0.776,0.628,0.809,0.804,0.952,1.05,1.246,1.735,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.",mitochondrion [GO:0005739],67,108
P37292,"Serine hydroxymethyltransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SHM1 PE=1 SV=2",SHM1,31,30,0.857,0.76,0.701,0.9,0.901,1.094,1.016,1.25,1.571,Mitochondrion.,mitochondrion [GO:0005739],55,108
P32898,Mitochondrial presequence protease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CYM1 PE=1 SV=2,CYM1,49,49,0.674,0.611,0.521,0.902,0.925,1.092,1.074,1.329,1.669,"Mitochondrion intermembrane space {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:15606766, ECO:0000269|PubMed:15772085}. Note=May also be present in the mitochondrial matrix.",mitochondrion [GO:0005739];mitochondrial intermembrane space [GO:0005758],55,107
P00330,Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5,ADH1,23,17,1.588,1.521,1.639,0.432,0.458,0.455,0.806,0.727,0.693,Cytoplasm.,cytoplasm [GO:0005737],58,107
Q07878,Vacuolar protein sorting-associated protein 13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS13 PE=1 SV=1,VPS13,82,82,1.147,0.978,1.196,0.823,0.933,1.085,0.904,0.972,1.048,"Golgi apparatus, trans-Golgi network {ECO:0000305}.",Golgi apparatus [GO:0005794];nucleus-vacuole junction [GO:0071561];organelle membrane contact site [GO:0044232];prospore membrane [GO:0005628];vacuole-mitochondrion membrane contact site [GO:1990816];extrinsic component of membrane [GO:0019898],30,105
P09440,"C-1-tetrahydrofolate synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MIS1 PE=1 SV=1",MIS1,54,49,0.886,0.796,0.66,0.807,0.763,0.972,1.018,1.21,1.648,"Mitochondrion {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:3528153}.",mitochondrion [GO:0005739],54,105
Q01852,Mitochondrial import inner membrane translocase subunit TIM44 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TIM44 PE=1 SV=1,TIM44,31,31,0.836,0.75,0.701,1.209,1.089,1.425,1.117,1.403,1.836,Peripheral membrane protein {ECO:0000269|PubMed:18426906}.;Mitochondrion inner membrane {ECO:0000269|PubMed:18426906},mitochondrial inner membrane [GO:0005743];mitochondrial inner membrane presequence translocase complex [GO:0005744];presequence translocase-associated import motor [GO:0001405];extrinsic component of mitochondrial inner membrane [GO:0031314],57,103
Q05050,Eisosome protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EIS1 PE=1 SV=1,EIS1,56,56,0.775,0.978,0.869,1.653,1.418,0.907,1.485,1.308,0.689,Cytoplasmic side. Note=Localizes at the eisosomes.;Peripheral membrane protein;Cytoplasmic granule. Cell membrane,plasma membrane [GO:0005886];eisosome [GO:0032126],60,99
P05759,Ubiquitin-40S ribosomal protein S31 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPS31 PE=1 SV=3,RPS31,12,5,1.239,1.365,1.451,0.336,0.329,0.291,0.703,0.53,0.323,40S ribosomal protein S31: Cytoplasm {ECO:0000269|PubMed:22096102}.;Ubiquitin: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.,nucleus [GO:0005634];cytosolic small ribosomal subunit [GO:0022627],66,99
P00924,Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENO1 PE=1 SV=3,ENO1,26,10,1.774,1.549,1.362,0.359,0.401,0.433,0.685,0.613,0.598,Cytoplasm {ECO:0000269|PubMed:11502169}.,mitochondrion [GO:0005739];phosphopyruvate hydratase complex [GO:0000015];fungal-type vacuole [GO:0000324],59,98
P40047,"Aldehyde dehydrogenase 5, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALD5 PE=1 SV=4",ALD5,33,31,0.816,0.734,0.6,0.809,0.765,0.855,1.052,1.204,1.762,"Mitochondrion matrix {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:9473035}.",mitochondrial matrix [GO:0005759],52,96
P38720,"6-phosphogluconate dehydrogenase, decarboxylating 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GND1 PE=1 SV=1",GND1,31,23,1.545,1.25,1.506,0.588,0.533,0.488,1.058,0.945,0.706,Cytoplasm {ECO:0000269|PubMed:14562095}.,cytoplasm [GO:0005737],71,96
Q12680,Glutamate synthase [NADH] OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLT1 PE=1 SV=2,GLT1,62,61,1.261,1.265,1.42,0.821,0.99,0.947,0.75,0.805,0.644,,,33,96
P15424,"ATP-dependent RNA helicase MSS116, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSS116 PE=1 SV=1",MSS116,43,43,0.879,0.721,0.667,1.03,0.935,1.229,1.059,1.248,1.509,"Mitochondrion matrix {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.",nucleolus [GO:0005730];mitochondrial matrix [GO:0005759],56,96
P25039,"Elongation factor G, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MEF1 PE=1 SV=2",MEF1,38,38,0.578,0.537,0.463,1.138,1.169,1.415,1.067,1.371,1.806,"Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03061, ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278}.",mitochondrion [GO:0005739],47,96
Q05022,rRNA biogenesis protein RRP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RRP5 PE=1 SV=1,RRP5,66,66,0.803,1.955,0.86,0.968,0.99,0.614,1.372,0.841,0.503,"Nucleus, nucleolus {ECO:0000269|PubMed:8896463}.",nucleoplasm [GO:0005654];small-subunit processome [GO:0032040];nucleolus [GO:0005730],37,95
P17967,Protein disulfide-isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDI1 PE=1 SV=2,PDI1,24,24,1.911,1.789,1.783,1.251,1.142,0.789,1.624,1.142,0.639,Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138}.,endoplasmic reticulum lumen [GO:0005788],47,95
P32340,"Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NDI1 PE=1 SV=1",NDI1,30,30,0.263,0.267,0.25,1.37,1.315,1.641,0.962,1.296,1.718,Matrix side {ECO:0000269|PubMed:11502169}. Note=Bound to the mitochondrial inner membrane facing the matrix site.;Peripheral membrane protein {ECO:0000269|PubMed:11502169};Mitochondrion inner membrane {ECO:0000269|PubMed:11502169},mitochondrial matrix [GO:0005759];mitochondrion [GO:0005739];mitochondrial inner membrane [GO:0005743],54,94
P0CH09,Ubiquitin-60S ribosomal protein L40 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL40B PE=1 SV=1,RPL40B,8,1,1.093,1.105,0.896,0.443,0.468,0.519,1.015,0.56,0.439,60S ribosomal protein L40-B: Cytoplasm {ECO:0000269|PubMed:22096102}.;Ubiquitin: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.,nucleus [GO:0005634];cytosolic large ribosomal subunit [GO:0022625],55,94
P07149,Fatty acid synthase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FAS1 PE=1 SV=2,FAS1,56,56,1.29,1.303,1.498,0.825,0.916,0.932,0.875,0.862,0.724,,fatty acid synthase complex [GO:0005835];lipid droplet [GO:0005811];cytosol [GO:0005829],30,94
P14126,60S ribosomal protein L3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPL3 PE=1 SV=4,RPL3,26,26,1.148,1.161,1.195,0.509,0.499,0.452,0.727,0.609,0.444,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.",cytosolic large ribosomal subunit [GO:0022625],53,93
P23641,Mitochondrial phosphate carrier protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MIR1 PE=1 SV=1,MIR1,16,16,0.515,0.469,0.431,1.363,1.531,1.676,0.882,1.207,1.491,Multi-pass membrane protein.;Mitochondrion inner membrane,mitochondrial inner membrane [GO:0005743];mitochondrial intermembrane space [GO:0005758];mitochondrion [GO:0005739];integral component of mitochondrial inner membrane [GO:0031305],62,93
P08679,"Citrate synthase, peroxisomal OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CIT2 PE=1 SV=1",CIT2,23,20,0.43,0.392,0.427,1.919,1.825,1.763,1.014,1.162,0.986,Peroxisome.,peroxisome [GO:0005777];cytoplasm [GO:0005737],56,92
P28240,Isocitrate lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ICL1 PE=1 SV=1,ICL1,24,24,0.18,0.14,0.152,1.879,2.122,2.081,1.037,1.275,1.166,"Cytoplasm {ECO:0000269|PubMed:20457600, ECO:0000269|PubMed:8870676, ECO:0000269|PubMed:9370278}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:24520859, ECO:0000269|PubMed:24665361}. Vacuole {ECO:0000269|PubMed:17651441, ECO:0000269|PubMed:20457600}. Note=Localizes in extracellular vesicles during growth on lown glucose. When glucose is added to glucose-starved wild-type cells, levels of extracellular ICL1 get reduced. Targeted to the vacuole for degradation in 3-day-starved cells. {ECO:0000269|PubMed:20457600, ECO:0000269|PubMed:24520859, ECO:0000269|PubMed:24665361}.",extracellular region [GO:0005576];vacuole [GO:0005773];cytoplasm [GO:0005737],50,92
P36013,"NAD-dependent malic enzyme, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MAE1 PE=1 SV=1",MAE1,30,30,1.094,0.981,0.793,0.837,0.836,0.994,1.109,1.302,1.695,"Mitochondrion matrix {ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:9603875}.",mitochondrion [GO:0005739];mitochondrial matrix [GO:0005759],55,92
P40053,"Altered inheritance of mitochondria protein 9, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AIM9 PE=1 SV=1",AIM9,38,38,0.583,0.524,0.453,0.99,0.932,1.144,0.986,1.275,1.535,Mitochondrion {ECO:0000269|PubMed:14562095}.,mitochondrion [GO:0005739],54,92
P28241,"Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=IDH2 PE=1 SV=1",IDH2,16,16,0.427,0.427,0.338,1.565,1.57,1.797,1.025,1.406,1.913,Mitochondrion matrix {ECO:0000269|PubMed:11502169}.,mitochondrion [GO:0005739];mitochondrial isocitrate dehydrogenase complex (NAD+) [GO:0005962],48,91
P18238,"ADP,ATP carrier protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AAC3 PE=1 SV=1",AAC3,10,3,1.09,0.958,0.876,0.808,0.735,0.88,0.935,1.168,1.321,Multi-pass membrane protein.;Mitochondrion inner membrane,mitochondrial inner membrane [GO:0005743];integral component of membrane [GO:0016021],28,91
P39986,Manganese-transporting ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPF1 PE=1 SV=1,SPF1,43,43,1.422,1.269,1.329,0.782,0.756,0.58,1.084,0.769,0.452,Multi-pass membrane protein {ECO:0000269|PubMed:24392018}.;Endoplasmic reticulum membrane {ECO:0000269|PubMed:24392018},endoplasmic reticulum membrane [GO:0005789];integral component of plasma membrane [GO:0005887];cis-Golgi network [GO:0005801],44,91
P49367,"Homoaconitase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LYS4 PE=1 SV=1",LYS4,30,30,0.827,0.795,0.663,0.929,0.973,1.122,1.056,1.232,1.853,Mitochondrion {ECO:0000269|PubMed:14562095}.,mitochondrion [GO:0005739],45,91
P16861,ATP-dependent 6-phosphofructokinase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PFK1 PE=1 SV=1,PFK1,48,47,1.407,1.619,1.66,0.513,0.591,0.574,0.74,0.712,0.625,"Cytoplasmic side {ECO:0000269|PubMed:16962558}.;Peripheral membrane protein;Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03184, ECO:0000269|PubMed:18313953}. Mitochondrion outer membrane",mitochondrial outer membrane [GO:0005741];mitochondrion [GO:0005739];6-phosphofructokinase complex [GO:0005945],49,91
P12695,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LAT1 PE=1 SV=1",LAT1,32,32,0.555,0.596,0.45,1.391,1.566,1.595,1.196,1.491,2.546,Mitochondrion matrix {ECO:0000269|PubMed:14562095}.,mitochondrial pyruvate dehydrogenase complex [GO:0005967],51,90
P07275,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PUT2 PE=1 SV=2",PUT2,31,31,0.6,0.557,0.484,0.97,0.969,1.173,0.95,1.226,1.442,Mitochondrion inner membrane {ECO:0000269|PubMed:11502169}.,mitochondrial matrix [GO:0005759];mitochondrial inner membrane [GO:0005743],53,90
P32454,"Aminopeptidase 2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APE2 PE=1 SV=4",APE2,44,41,0.778,0.711,0.62,1.154,1.182,1.417,1.035,1.323,1.727,Periplasm. Cytoplasm. Mitochondrion.,extracellular region [GO:0005576];mitochondrion [GO:0005739];cell wall-bounded periplasmic space [GO:0030287],53,88
P39676,Flavohemoprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YHB1 PE=1 SV=2,YHB1,21,21,0.558,0.548,0.487,1.638,1.833,1.98,0.991,1.282,1.769,Cytoplasm {ECO:0000250}.,cytosol [GO:0005829];mitochondrial matrix [GO:0005759];cytoplasmic stress granule [GO:0010494],64,88
P22202,Heat shock protein SSA4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSA4 PE=1 SV=3,SSA4,29,11,1.228,1.343,1.324,0.81,0.843,0.831,1.313,1.176,1.194,Cytoplasm.,nucleus [GO:0005634];cytoplasm [GO:0005737],45,87
P08566,Pentafunctional AROM polypeptide OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARO1 PE=1 SV=1,ARO1,54,54,1.267,1.395,1.475,0.782,0.893,0.817,0.838,0.79,0.678,Cytoplasm.,cytoplasm [GO:0005737],37,87
P31539,Heat shock protein 104 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HSP104 PE=1 SV=2,HSP104,50,49,1.281,1.633,1.516,0.725,0.793,0.762,1.073,0.925,0.74,"Cytoplasm. Nucleus. Note=Shuttles between the cytoplasm and the nucleus in an importin KAP95- and KAP121-dependent and an exportin XPO1-dependent manner. Accumulation in the nucleus is enhanced by severe heat shock. In the cytoplasm, concentrates on a perivacuolar compartment, the 'insoluble protein deposit' (IPOD), in which terminally aggregated proteins are sequestered. It is also found, to a lesser extent, at a 'juxtanuclear quality control' (JUNQ) compartment, where soluble ubiquitinated misfolded proteins accumulate.",nuclear periphery [GO:0034399];nucleus [GO:0005634];TRC complex [GO:0072380];cytoplasm [GO:0005737],48,87
P32843,Mitochondrial escape protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YME2 PE=1 SV=1,YME2,43,43,0.666,0.58,0.541,1.274,1.198,1.467,0.986,1.322,1.557,"Single-pass membrane protein {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:8649384}.;Mitochondrion inner membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:14576278, ECO:0000269|PubMed:8649384}",integral component of mitochondrial inner membrane [GO:0031305],50,87
P32266,"Dynamin-like GTPase MGM1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MGM1 PE=1 SV=3",MGM1,46,45,0.756,0.687,0.622,1.064,1.078,1.306,1.081,1.38,1.635,Intermembrane side {ECO:0000305|PubMed:15096522}. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.;Intermembrane side.;Peripheral membrane protein {ECO:0000269|PubMed:15096522};Single-pass type II membrane protein {ECO:0000255};Dynamin-like GTPase MGM1 small isoform: Mitochondrion inner membrane {ECO:0000269|PubMed:15096522};Dynamin-like GTPase MGM1 large isoform: Mitochondrion inner membrane {ECO:0000269|PubMed:15096522},integral component of membrane [GO:0016021];intrinsic component of mitochondrial inner membrane [GO:0031304];mitochondrial crista [GO:0030061];mitochondrial inner boundary membrane [GO:0097002];mitochondrial intermembrane space [GO:0005758];peroxisome [GO:0005777];extrinsic component of mitochondrial inner membrane [GO:0031314],51,87
P21576,Vacuolar protein sorting-associated protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS1 PE=1 SV=2,VPS1,44,42,1.096,1.203,1.409,1.086,1.122,0.963,0.97,0.876,0.605,"Cytoplasm, cytoskeleton {ECO:0000269|PubMed:8344247}.",fungal-type vacuole membrane [GO:0000329];late endosome [GO:0005770];microtubule [GO:0005874];peroxisome [GO:0005777];actin cortical patch [GO:0030479],59,86
P32795,Mitochondrial inner membrane i-AAA protease supercomplex subunit YME1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YME1 PE=1 SV=1,YME1,41,41,0.726,0.674,0.604,1.088,1.075,1.258,1.076,1.273,1.747,"Matrix side {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:8355690, ECO:0000269|PubMed:8688560}. Note=Although this protein does not have any predicted transmembrane helices it behaves like an integral membrane protein.;Peripheral membrane protein {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:8355690, ECO:0000269|PubMed:8688560};Mitochondrion inner membrane {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:8355690, ECO:0000269|PubMed:8688560}",mitochondrial inner membrane [GO:0005743];i-AAA complex [GO:0031942],50,86
P07245,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADE3 PE=1 SV=1",ADE3,45,41,1.287,1.327,1.338,0.67,0.738,0.681,0.833,0.704,0.616,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,nucleus [GO:0005634];cytoplasm [GO:0005737],47,84
